,Average score,Additional score,Optimization score,At least one,Length of correlation,Lambda,N
2968,0.07,0.07,0.91,1,0.5,100,100
2969,0.07,0.07,0.95,1,0.5,100,100
2970,0.0,0.0,1.0,0,0.5,1000,1
2971,0.0,0.0,1.0,0,0.5,1000,1
2972,0.0,0.0,1.0,0,0.5,1000,1
2973,0.0,0.0,1.0,0,0.5,1000,1
2974,0.0,0.0,1.0,0,0.5,1000,1
2975,0.0,0.0,1.0,0,0.5,1000,1
2976,0.0,0.0,1.0,0,0.5,1000,1
2977,0.0,0.0,1.0,0,0.5,1000,1
2978,0.0,0.0,1.0,0,0.5,1000,1
2979,0.0,0.0,1.0,0,0.5,1000,1
2980,0.0,0.0,1.0,0,0.5,1000,10
2981,0.0,0.0,1.0,0,0.5,1000,10
2982,0.0,0.0,0.8,0,0.5,1000,10
2983,0.0,0.0,1.0,0,0.5,1000,10
2984,0.1,0.1,0.7,1,0.5,1000,10
2985,0.0,0.1,0.9,0,0.5,1000,10
2986,0.1,0.1,1.0,1,0.5,1000,10
2987,0.0,0.0,1.0,0,0.5,1000,10
2988,0.1,0.1,0.9,1,0.5,1000,10
2989,0.2,0.2,1.0,1,0.5,1000,10
2990,0.03,0.03,0.97,1,0.5,1000,100
2991,0.05,0.05,0.95,1,0.5,1000,100
2992,0.04,0.04,0.92,1,0.5,1000,100
2993,0.02,0.04,0.91,1,0.5,1000,100
2994,0.06,0.06,0.91,1,0.5,1000,100
2995,0.05,0.05,0.94,1,0.5,1000,100
2996,0.02,0.02,0.93,1,0.5,1000,100
2997,0.06,0.07,0.97,1,0.5,1000,100
2998,0.02,0.02,0.93,1,0.5,1000,100
2999,0.01,0.01,0.93,1,0.5,1000,100
3000,0.0,0.0,1.0,0,0.5,0,1
3001,0.0,0.0,1.0,0,0.5,0,1
3002,0.0,0.0,1.0,0,0.5,0,1
3003,0.0,0.0,1.0,0,0.5,0,1
3004,0.0,0.0,1.0,0,0.5,0,1
3005,0.0,0.0,1.0,0,0.5,0,1
3006,0.0,0.0,1.0,0,0.5,0,1
3007,0.0,0.0,1.0,0,0.5,0,1
3008,1.0,1.0,1.0,1,0.5,0,1
3009,0.0,0.0,1.0,0,0.5,0,1
3010,0.1,0.1,1.0,1,0.5,0,10
3011,0.2,0.2,1.0,1,0.5,0,10
3012,0.0,0.0,1.0,0,0.5,0,10
3013,0.2,0.2,1.0,1,0.5,0,10
3014,0.2,0.2,1.0,1,0.5,0,10
3015,0.2,0.2,1.0,1,0.5,0,10
3016,0.2,0.2,1.0,1,0.5,0,10
3017,0.2,0.2,1.0,1,0.5,0,10
3018,0.0,0.0,1.0,0,0.5,0,10
3019,0.2,0.2,1.0,1,0.5,0,10
3020,0.07,0.07,1.0,1,0.5,0,100
3021,0.15,0.15,1.0,1,0.5,0,100
3022,0.18,0.18,0.99,1,0.5,0,100
3023,0.18,0.18,1.0,1,0.5,0,100
3024,0.16,0.16,1.0,1,0.5,0,100
3025,0.13,0.13,1.0,1,0.5,0,100
3026,0.14,0.14,0.99,1,0.5,0,100
3027,0.16,0.16,1.0,1,0.5,0,100
3028,0.19,0.19,1.0,1,0.5,0,100
3029,0.16,0.16,1.0,1,0.5,0,100
3030,0.0,0.0,1.0,0,0.5,1,1
3031,0.0,0.0,1.0,0,0.5,1,1
3032,0.0,0.0,1.0,0,0.5,1,1
3033,0.0,0.0,1.0,0,0.5,1,1
3034,0.0,0.0,0.0,0,0.5,1,1
3035,0.0,0.0,1.0,0,0.5,1,1
3036,0.0,0.0,1.0,0,0.5,1,1
3037,0.0,0.0,1.0,0,0.5,1,1
3038,0.0,0.0,1.0,0,0.5,1,1
3039,0.0,0.0,1.0,0,0.5,1,1
3040,0.1,0.1,1.0,1,0.5,1,10
3041,0.0,0.0,1.0,0,0.5,1,10
3042,0.3,0.3,1.0,1,0.5,1,10
3043,0.1,0.1,1.0,1,0.5,1,10
3044,0.3,0.3,1.0,1,0.5,1,10
3045,0.1,0.1,1.0,1,0.5,1,10
3046,0.0,0.0,1.0,0,0.5,1,10
3047,0.0,0.0,1.0,0,0.5,1,10
3048,0.1,0.1,1.0,1,0.5,1,10
3049,0.2,0.2,1.0,1,0.5,1,10
3050,0.16,0.16,1.0,1,0.5,1,100
3051,0.11,0.11,1.0,1,0.5,1,100
3052,0.17,0.17,1.0,1,0.5,1,100
3053,0.11,0.11,1.0,1,0.5,1,100
3054,0.07,0.07,1.0,1,0.5,1,100
3055,0.12,0.13,0.99,1,0.5,1,100
3056,0.11,0.11,0.99,1,0.5,1,100
3057,0.1,0.1,1.0,1,0.5,1,100
3058,0.1,0.1,0.99,1,0.5,1,100
3059,0.09,0.09,1.0,1,0.5,1,100
3060,1.0,1.0,1.0,1,0.5,10,1
3061,0.0,0.0,1.0,0,0.5,10,1
3062,0.0,0.0,1.0,0,0.5,10,1
3063,0.0,0.0,1.0,0,0.5,10,1
3064,1.0,1.0,1.0,1,0.5,10,1
3065,0.0,0.0,1.0,0,0.5,10,1
