smiles,value
Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1C#Cc1cccc(CN(C)C)c1,7.26
NC1CCN(Cc2ccn3ncnc(Nc4ccc(F)c(Cl)c4)c23)CC1,8.0
Cc1[nH]c2ncnc(Nc3ccccc3)c2c1C,5.72
Brc1cccc(Nc2ncnc3ccc(NNN=CCN4CCOCC4)cc23)c1,7.19
Nc1ncnc2c1c(-c1ccccc1)nn2-c1ccccc1,6.1
CC(C)n1nc(-c2ccc(F)c(O)c2)c2c(N)ncnc21,5.85
OCC(O)C(O)C(O)C(O)CNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,8.32
COc1ccc2[nH]c3ncnc(Nc4cccc(Br)c4)c3c2c1,8.92
c1ccc(-c2cc3ncnc(Nc4ccc5[nH]ccc5c4)c3s2)cc1,8.52
C=CC(=O)Nc1ccc(-n2c(=O)cnc3cnc(Nc4ccc(N5CCOCC5)cc4)nc32)cc1,5.25298
Nc1cccc(-c2c(-c3ccccc3)oc3ncnc(N[C@H](CO)c4ccccc4)c23)c1,6.6925
Cc1cccc(CN(Cc2ccc(O)cc2)C(=O)Nc2ccccc2)c1O,5.12
NC1CCC(Nc2nccc(-c3c[nH]c4ncccc34)n2)CC1,5.7
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCC,9.74473
COc1cc(/C=C2\CCC/C(=C\c3ccc(O)cc3)C2=O)cc(OC)c1,5.34
COc1ccc(C2=NN(c3nc(-c4ccc(Cl)cc4)cs3)C(c3ccc(C)cc3)C2)cc1,5.33
Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,6.13
COc1ccc(-c2ccc(NC(=O)Nc3ccc(F)c(C)c3)cc2)c2c(N)noc12,5.7
O=C1c2ccccc2-c2n[nH]c3cccc1c23,5.7
N#C/C(=C\c1cc(O)ccc1O)C(N)=O,5.0
COc1cc2ncnc(Nc3ccc(Cl)c(NC(=O)c4cccc(N(C)C)c4)c3)c2cc1OC,6.0
CN1CCN(CCCNc2cc3ncnc(Nc4cccc(Br)c4)c3cn2)CC1,8.31
O=C1Nc2ccccc2Nc2nnc(Cl)cc21,5.7
COc1cc(/C=C(\C#N)C(N)=O)cc(CSC2=NCCS2)c1O,5.06
Cc1ncc([N+](=O)[O-])n1CC(=O)NS(=O)(=O)c1ccc(Br)cc1,5.66354
Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccc(-c2ccccc2)cc1,6.21
O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,6.16115
Nc1ncnc2c1c(-c1ccc(O)cc1)cn2C1CCNC1,5.57
COc1cc2ncc(C(=O)O)c(Nc3ccc(F)c(Cl)c3)c2cc1OC,5.03
Cc1ccc(C2CC(c3ccc(C)c(C)c3)=NN2C(N)=S)cc1,6.47
Nc1nccc2scc(-c3ccc(NC(=O)Nc4ccccc4C(F)(F)F)cc3)c12,5.7
CN(C)C/C=C/C(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,7.43
COc1cccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1,8.1
CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)CCN1CCOCC1,8.69465
O=C1NC(=O)c2cc(Nc3ccccc3)c(Nc3ccccc3)cc21,6.8
COc1cc2c(cc1OC)Oc1ncnc(Oc3cccc(Br)c3)c1N(C)C2,5.92082
CC(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc5sncc45)c(Cl)c3)c21,8.54
CCOc1ccc(-c2nn(C3CCCC3)c3ncnc(N)c23)cc1OC,5.85
O=C(c1cc2ccccc2[nH]1)c1cc2cc(O)ccc2[nH]1,5.29
Cc1cccc(Nc2ncnc3ccccc23)c1,6.04
C=NNNc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7.15
C=NNNc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7.41
Cc1cccc(Nc2[nH]cnc3nc(C)c(C)c2-3)c1,6.24
C=CC(=O)Nc1cc2c(Cc3cccc(Br)c3)ncnc2cc1OCCCN1CCOCC1,8.44009
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC1CCN(C)CC1,8.0
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Br)c3)ncnc2cc1OCCCN1CCOCC1,8.74
